,kg,calories
0,162,293.22
1,66,120.11999999999999
2,161,293.02
3,108,198.71999999999997
4,107,194.73999999999998
5,52,94.12
6,60,108.60000000000001
7,138,251.15999999999997
8,123,215.25
9,77,134.75
10,91,166.53
11,137,245.23000000000002
12,113,205.65999999999997
13,117,204.75
14,141,252.39000000000001
15,146,256.96
16,81,149.85
17,161,293.02
18,143,250.25
19,84,152.88
20,135,237.6
21,78,143.51999999999998
22,84,148.68
23,79,142.99
24,119,213.01
25,144,266.40000000000003
26,167,302.27
27,61,108.58
28,153,272.34000000000003
29,97,173.63
30,94,169.20000000000002
31,138,251.15999999999997
32,58,104.4
33,50,89.0
34,157,288.88
35,129,229.62
36,110,199.1
37,86,159.1
38,72,128.88
39,64,116.47999999999999
40,120,211.2
41,100,183.0
42,84,147.0
43,123,223.85999999999999
44,128,224.0
45,166,290.5
46,123,226.32
47,85,153.0
48,107,188.32
49,101,179.78
50,59,107.97
51,59,103.84
52,69,122.13
53,67,121.93999999999998
54,82,150.06
55,56,98.0
56,68,119.0
57,65,117.0
58,55,99.0
59,105,189.0
60,94,173.9
61,60,107.4
62,91,164.71
63,71,129.93
64,110,196.9
65,148,266.40000000000003
66,68,119.68
67,140,253.4
68,74,135.42000000000002
69,70,124.60000000000001
70,151,268.78000000000003
71,165,305.25
72,133,246.05
73,141,260.85
74,102,184.62
75,141,256.62
76,167,302.27
77,144,263.52
78,142,249.92
79,51,92.31
80,170,300.9
81,169,312.65000000000003
82,53,95.93
83,64,118.4
84,127,233.67999999999998
85,79,139.83
86,154,280.28
87,64,114.56
88,99,177.21
89,128,224.0
90,145,263.9
91,139,257.15000000000003
92,133,238.07
93,77,134.75
94,125,225.0
95,102,186.66
96,61,110.41
97,91,163.8
98,78,143.51999999999998
99,120,218.39999999999998
100,76,137.56
101,153,276.93
102,77,140.14
103,149,262.24
104,71,125.67
105,84,152.04
106,127,222.25
107,125,229.99999999999997
108,137,249.33999999999997
109,68,119.68
110,122,215.94
111,80,148.0
112,134,239.86
113,164,295.2
114,143,264.55
115,128,231.68
116,164,288.64
117,132,240.23999999999998
118,142,252.76
119,92,162.84
120,169,312.65000000000003
121,147,267.53999999999996
122,167,298.93
123,125,231.25
124,116,212.28
125,117,212.93999999999997
126,161,294.63
127,112,207.20000000000002
128,134,246.55999999999997
129,78,142.74
130,109,196.20000000000002
131,165,298.65000000000003
132,111,202.01999999999998
133,57,100.32000000000001
134,156,274.56
135,87,160.95000000000002
136,143,261.69
137,143,250.25
138,104,190.32
139,159,278.25
140,110,195.8
141,86,159.1
142,56,101.91999999999999
143,87,152.25
144,76,134.52
145,67,117.92
146,158,287.56
147,87,153.99
148,152,270.56
149,74,133.20000000000002
150,96,175.68
151,67,117.25
152,133,240.73000000000002
153,132,236.28
154,133,242.05999999999997
155,106,188.68
156,162,289.98
157,169,305.89
158,118,212.4
159,132,244.20000000000002
160,107,193.67000000000002
161,122,223.26000000000002
162,163,293.40000000000003
163,68,119.68
164,119,213.01
165,103,186.43
166,123,221.4
167,70,128.79999999999998
168,160,281.6
169,113,207.92
170,126,233.10000000000002
171,80,140.0
172,139,243.25
173,154,272.58
174,106,186.56
175,117,204.75
176,124,223.20000000000002
177,71,129.93
178,168,309.12
179,73,128.48
180,54,94.5
181,73,130.67000000000002
182,95,175.75
183,88,157.52
184,114,204.06
185,69,120.75
186,121,217.8
187,109,200.55999999999997
188,62,114.7
189,92,165.6
190,55,96.25
191,57,103.74
192,61,109.8
193,121,223.85000000000002
194,127,233.67999999999998
195,108,197.64000000000001
196,122,223.26000000000002
197,133,242.05999999999997
198,142,262.7
199,158,279.66
200,75,133.5
201,157,288.88
202,51,93.83999999999999
203,68,121.72
204,117,208.26
205,126,228.06
206,93,168.33
207,161,286.58
208,165,305.25
209,146,265.71999999999997
210,91,168.35
211,134,239.86
212,87,156.6
213,159,279.84
214,80,140.8
215,109,201.65
216,97,172.66
217,132,240.23999999999998
218,116,209.96
219,132,242.88
220,106,189.74
221,63,110.25
222,169,305.89
223,161,297.85
224,136,243.44
225,80,148.0
226,100,185.0
227,87,156.6
228,163,290.14
229,123,217.71
230,150,271.5
231,103,188.49
232,93,171.11999999999998
233,51,94.35000000000001
234,65,119.6
235,149,272.67
236,77,140.91
237,89,162.87
238,134,246.55999999999997
239,96,177.60000000000002
240,62,113.46000000000001
241,70,124.60000000000001
242,56,99.68
243,78,137.28
244,99,179.19
245,169,312.65000000000003
246,129,230.91
247,84,152.88
248,115,201.25
249,84,147.0
250,158,292.3
251,54,99.9
252,64,113.92
253,101,180.79
254,147,258.72
255,126,223.02
256,133,235.41
257,120,217.20000000000002
258,72,128.16
259,161,283.36
260,102,180.54
261,141,259.44
262,81,142.56
263,77,140.14
264,154,284.90000000000003
265,129,237.35999999999999
266,70,126.0
267,51,92.31
268,64,113.28
269,124,229.4
270,134,235.84
271,72,127.44
272,71,124.96
273,129,233.49
274,82,150.88
275,169,295.75
276,156,283.91999999999996
277,52,91.52
278,107,197.95000000000002
279,58,104.4
280,102,180.54
281,162,299.7
282,67,118.59
283,61,109.8
284,107,188.32
285,107,188.32
286,85,151.3
287,166,293.82
288,53,96.99000000000001
289,126,224.28
290,117,204.75
291,169,295.75
292,126,221.76
293,90,160.2
294,106,188.68
295,170,297.5
296,147,264.6
297,148,266.40000000000003
298,57,99.75
299,63,110.25
300,169,307.58
301,79,141.41
302,109,194.02
303,90,166.5
304,119,218.95999999999998
305,95,173.85
306,125,220.0
307,114,210.9
308,118,214.76
309,153,273.87
310,60,106.2
311,100,181.0
312,87,153.99
313,111,202.01999999999998
314,102,185.64
315,85,149.6
316,59,107.97
317,146,270.1
318,133,239.4
319,97,172.66
320,133,234.08
321,131,237.11
322,90,157.5
323,156,273.0
324,103,182.31
325,162,289.98
326,97,170.72
327,132,244.20000000000002
328,51,89.25
329,160,280.0
330,50,92.0
331,69,120.75
332,90,163.79999999999998
333,99,183.15
334,161,296.23999999999995
335,151,268.78000000000003
336,57,100.32000000000001
337,153,269.28000000000003
338,101,178.77
339,138,241.5
340,107,189.39000000000001
341,116,209.96
342,124,220.72
343,166,303.78000000000003
344,87,153.99
345,89,160.20000000000002
346,167,305.61
347,61,112.85000000000001
348,78,136.5
349,110,202.39999999999998
350,138,255.3
351,141,250.98
352,153,278.46
353,148,272.32
354,157,277.89
355,117,205.92
356,79,142.99
357,84,154.56
358,70,128.1
359,103,189.51999999999998
360,126,231.83999999999997
361,60,110.39999999999999
362,119,216.57999999999998
363,145,258.1
364,163,286.88
365,113,209.05
366,64,116.47999999999999
367,147,271.95
368,80,140.0
369,142,249.92
370,80,144.0
371,145,256.65
372,62,109.12
373,72,128.88
374,87,160.07999999999998
375,115,210.45000000000002
376,170,309.4
377,102,181.56
378,51,89.76
379,110,202.39999999999998
380,106,192.92
381,71,124.96
382,50,92.5
383,134,246.55999999999997
384,150,276.0
385,107,189.39000000000001
386,124,223.20000000000002
387,157,282.6
388,159,286.2
389,160,281.6
390,150,273.0
391,142,255.6
392,61,108.58
393,134,238.52
394,129,233.49
395,81,145.8
396,142,258.44
397,162,283.5
398,81,146.61
399,78,138.06
400,90,157.5
401,82,144.32
402,165,297.0
403,81,149.85
404,154,280.28
405,111,194.25
406,142,261.28
407,114,200.64000000000001
408,139,255.76
409,162,299.7
410,154,280.28
411,114,206.34
412,119,213.01
413,57,103.17
414,77,135.52
415,73,129.94
416,101,176.75
417,105,184.8
418,84,147.0
419,64,113.92
420,63,110.88
421,116,207.64000000000001
422,165,293.7
423,167,298.93
424,69,124.2
425,94,168.26
426,143,258.83
427,152,273.6
428,74,136.16
429,134,243.87999999999997
430,73,132.85999999999999
431,96,177.60000000000002
432,126,225.54
433,80,148.0
434,136,238.0
435,157,277.89
436,77,139.37
437,131,233.18
438,138,242.88
439,96,168.96
440,113,207.92
441,145,256.65
442,87,158.33999999999997
443,103,190.55
444,72,127.44
445,84,152.04
446,72,130.32
447,163,301.55
448,141,248.16
449,129,227.04
450,101,183.82
451,71,128.51
452,99,173.25
453,59,106.2
454,121,221.43
455,139,244.64000000000001
456,85,154.7
457,152,275.12
458,158,285.98
459,120,222.0
460,89,157.53
461,170,311.1
462,95,174.79999999999998
463,105,190.05
464,127,234.95000000000002
465,95,168.15
466,75,138.0
467,62,114.7
468,167,303.94
469,120,220.79999999999998
470,98,178.35999999999999
471,50,91.5
472,91,164.71
473,140,249.20000000000002
474,127,231.14
475,144,253.44
476,92,169.27999999999997
477,104,192.4
478,122,220.82
479,110,202.39999999999998
480,167,305.61
481,154,269.5
