,eta,calorie
0,35,2006
1,54,2476
2,26,2532
3,49,2165
4,30,2584
5,44,2455
6,44,2047
7,55,2313
8,54,2468
9,59,2108
10,18,2459
11,40,2058
12,33,2414
13,36,2335
14,21,2320
15,22,2618
16,58,2063
17,23,2870
18,45,2226
19,58,2296
20,47,2047
21,44,2458
22,40,2468
23,23,2374
24,19,2772
25,65,2177
26,57,2205
27,55,2114
28,44,2215
29,19,2415
30,48,2100
31,68,2243
32,42,2146
33,50,2045
34,24,2481
35,44,2047
36,34,2167
37,21,2616
38,42,2157
39,55,2198
40,37,2156
41,17,2470
42,51,2044
43,60,2011
44,69,1833
45,17,2865
46,39,2399
47,48,2199
48,38,2261
49,59,2033
50,35,2059
51,23,2586
52,46,2405
53,50,2248
54,58,2291
55,43,2033
56,49,2136
57,69,2155
58,38,2429
59,47,2012
60,19,2729
61,36,2317
62,24,2397
63,38,2529
64,48,2034
65,20,2594
66,30,2210
67,38,2279
68,32,2429
69,70,2299
70,35,2039
71,50,2011
72,61,2254
73,20,2676
74,49,2090
75,24,2674
76,28,2620
77,61,2289
78,48,2473
79,24,2454
80,38,2372
81,26,2398
82,22,2791
83,49,2366
84,58,2135
85,21,2446
86,40,2104
87,22,2732
88,36,2166
89,31,2477
90,19,2362
91,18,2707
92,28,2413
93,61,1987
94,49,2089
95,39,2142
96,27,2706
97,53,2265
98,40,2426
99,66,2197
100,33,2382
101,39,2172
102,58,2473
103,63,2008
104,51,2092
105,37,2421
106,30,2020
107,42,2162
108,55,2381
109,67,1940
110,69,2052
111,32,2559
112,43,2037
113,67,1936
114,35,2444
115,38,2450
116,57,2082
117,22,2477
118,41,2201
119,59,2248
120,24,2359
121,37,2574
122,40,2267
123,61,2268
124,70,1952
125,18,2697
126,45,2388
127,47,2118
128,20,2493
129,70,2163
130,68,2090
131,27,2429
132,28,2433
133,55,2060
134,38,2511
135,55,2403
136,39,2324
137,25,2590
138,31,2160
139,63,1990
140,47,2494
141,35,2259
142,47,2379
143,32,2221
144,60,2024
145,20,2388
146,47,2350
147,55,2111
148,27,2603
149,48,2099
150,63,2238
151,47,2104
152,31,2472
153,27,2476
154,66,2045
155,68,2032
156,44,2367
157,55,2266
158,36,2218
159,18,2820
160,38,2086
161,45,2157
162,39,2292
163,26,2623
164,36,2276
165,57,2261
166,34,2525
167,18,2725
168,47,2281
169,46,2064
170,44,2281
171,61,2003
172,31,2105
173,23,2329
174,38,2542
175,38,2219
176,35,2183
177,32,2036
178,70,1805
179,21,2490
180,44,2369
181,17,2879
182,58,2423
183,64,2043
184,20,2598
185,34,2588
186,32,2600
187,52,2059
188,41,2431
189,58,2157
190,42,2446
191,34,2012
192,70,1910
193,38,2494
194,23,2420
195,23,2440
196,26,2400
197,50,2331
198,19,2823
199,53,2250
200,41,2291
201,48,2161
202,24,2659
203,28,2837
204,24,2464
205,40,2001
206,59,2324
207,27,2827
208,30,2301
209,44,2285
210,17,2570
211,32,2241
212,54,2319
213,36,2110
214,33,2600
215,55,2247
216,40,2075
217,24,2709
218,52,2397
219,44,2482
220,30,2463
221,31,2094
222,28,2787
223,33,2513
224,43,2101
225,66,1844
226,37,2582
227,65,1903
228,34,2556
229,70,2088
230,32,2208
231,30,2436
232,46,2459
233,25,2871
234,21,2641
235,42,2434
236,60,1827
237,17,2647
238,47,2215
239,52,2014
240,17,2727
241,52,2135
242,70,2140
243,27,2656
244,47,2144
245,64,1981
246,61,2030
247,39,2279
248,42,2116
249,25,2778
250,24,2545
251,64,2169
252,69,2183
253,29,2753
254,59,2497
255,34,2164
256,25,2340
257,47,2133
258,28,2657
259,52,2412
260,18,2729
261,49,2065
262,28,2551
263,41,2200
264,59,2096
265,25,2565
266,30,2490
267,21,2336
268,38,2144
269,40,2297
270,49,2168
271,58,2461
272,52,2329
273,19,2729
274,54,2421
275,53,2231
276,29,2656
277,69,1998
278,57,2288
279,30,2374
280,40,2142
281,42,2233
282,51,2055
283,55,2156
284,41,2436
285,68,1995
286,30,2134
287,54,2216
288,52,2496
289,48,2074
290,21,2738
291,18,2673
292,41,2363
293,38,2230
294,35,2215
295,37,2122
296,66,2201
297,62,1843
298,25,2350
299,19,2589
300,47,2479
301,57,2030
302,61,1880
303,35,2000
304,47,2004
305,24,2457
306,48,2307
307,69,2048
308,34,2420
309,67,1816
310,68,2227
311,55,2029
312,29,2648
313,41,2211
314,67,2106
315,20,2645
316,53,2359
317,48,2148
318,48,2231
319,55,2439
320,61,2053
321,43,2022
322,23,2733
323,36,2110
324,67,2179
325,22,2395
326,40,2327
327,20,2420
328,60,2072
329,22,2304
330,23,2849
331,59,2303
332,34,2329
333,56,2018
334,22,2637
335,52,2291
336,17,2574
337,52,2021
338,38,2228
339,23,2817
340,29,2837
341,60,2281
342,32,2178
343,19,2879
344,62,2008
345,43,2232
346,59,2286
347,60,2228
348,21,2528
349,37,2350
350,70,2104
351,45,2472
352,47,2110
353,50,2255
354,23,2703
355,21,2538
356,68,1900
357,21,2652
358,69,2268
359,30,2092
360,46,2107
361,42,2426
362,23,2757
363,47,2171
364,18,2457
365,39,2065
366,20,2601
367,35,2122
368,43,2197
369,25,2464
370,40,2492
371,59,2013
372,18,2841
373,65,2116
374,26,2625
375,35,2116
376,35,2374
377,30,2524
378,27,2493
379,67,1969
380,25,2522
381,19,2610
382,36,2150
383,45,2193
384,32,2487
385,51,2186
386,63,2113
387,37,2276
388,39,2066
389,69,2246
390,28,2654
391,54,2169
392,45,2465
393,56,2156
394,52,2443
395,31,2261
396,56,2451
397,52,2279
398,45,2395
399,57,2059
400,30,2128
401,46,2471
402,52,2286
403,62,1859
404,68,2028
405,63,2291
406,59,2146
407,61,1968
408,60,2263
409,41,2019
410,32,2389
411,47,2331
412,67,2135
413,39,2560
414,67,1870
415,47,2178
416,30,2478
417,34,2477
418,17,2507
419,22,2324
420,17,2359
421,68,1959
422,49,2486
423,59,2242
424,18,2408
425,39,2474
426,31,2379
427,37,2208
428,55,2105
429,35,2142
430,17,2720
431,25,2371
432,55,2254
433,58,2097
434,17,2657
435,28,2798
436,54,2485
437,64,2218
438,23,2464
439,47,2476
440,63,1876
441,18,2891
442,35,2233
443,47,2370
444,29,2637
445,53,2346
446,61,1942
447,56,2368
448,22,2802
449,36,2023
450,30,2152
451,44,2187
452,53,2095
453,21,2375
454,57,2423
455,53,2427
456,55,2137
457,62,1830
458,17,2785
459,39,2492
460,31,2193
461,20,2463
462,66,1818
463,31,2419
464,43,2007
465,29,2712
466,34,2397
467,43,2285
468,32,2097
469,19,2886
470,38,2089
471,27,2429
472,19,2583
473,22,2483
474,69,2215
475,70,2150
476,17,2338
477,50,2225
478,61,1903
479,23,2478
480,61,1894
481,69,2277
482,67,2217
483,46,2347
484,70,1834
485,37,2293
486,48,2152
487,42,2297
488,39,2197
489,42,2221
490,24,2589
491,66,2200
492,29,2874
493,24,2794
494,62,2233
495,47,2498
496,27,2892
497,47,2039
498,21,2450
499,38,2047
500,61,1985
501,36,2225
502,57,2213
503,25,2340
504,58,2073
505,39,2532
506,42,2401
507,44,2208
508,42,2051
509,17,2734
510,41,2344
511,49,2425
512,17,2613
513,70,1975
514,31,2262
515,33,2484
516,56,2118
517,37,2036
518,26,2817
519,70,1843
520,31,2537
521,34,2170
522,24,2730
523,26,2641
524,49,2495
525,66,2237
526,61,2067
527,33,2533
528,53,2369
529,64,2060
530,45,2492
531,29,2510
532,58,2114
533,38,2439
534,64,1836
535,27,2816
536,64,2205
537,19,2595
538,21,2637
539,48,2205
540,26,2701
541,50,2313
542,32,2450
543,62,2298
544,31,2480
545,67,1949
546,45,2307
547,35,2270
548,45,2045
549,44,2021
550,35,2202
551,49,2069
552,62,1952
553,42,2164
554,42,2124
555,39,2074
556,42,2364
557,55,2034
558,29,2496
559,32,2049
560,51,2311
561,40,2026
562,53,2060
563,61,2186
564,36,2449
565,24,2842
566,62,2042
567,37,2305
568,51,2070
569,63,1855
570,20,2668
571,70,2178
572,50,2056
573,36,2154
574,40,2324
575,33,2263
576,23,2575
577,18,2825
578,57,2067
579,23,2714
580,70,2046
581,44,2403
582,37,2014
583,60,1822
584,67,2089
585,31,2581
586,23,2357
587,47,2109
588,39,2365
589,54,2314
590,22,2606
591,46,2155
592,59,2308
593,31,2227
594,58,2464
595,28,2617
596,40,2390
597,40,2062
598,37,2563
