Superficie_mq,Camere,Bagni,Distanza_centro_km,Anno_costruzione,Piano,Prezzo_euro
45,2,1,8.5,1995,1,145000
78,3,2,4.2,2008,3,280000
120,4,2,2.1,2015,2,460000
95,3,2,3.5,2010,4,350000
60,2,1,6.8,2001,2,190000
110,4,2,1.8,2018,5,510000
75,3,1,5.2,2005,1,260000
52,2,1,7.3,1998,0,160000
89,3,2,3.0,2012,2,330000
130,5,3,1.5,2020,6,620000
100,3,2,2.8,2011,3,370000
64,2,1,6.5,2004,1,210000
150,5,3,0.8,2019,7,720000
82,3,2,4.0,2009,2,295000
57,2,1,7.8,1996,0,155000
118,4,2,2.2,2017,4,480000
92,3,2,3.3,2013,2,340000
70,2,1,5.9,2002,1,220000
125,4,3,1.0,2021,5,590000
140,5,3,0.5,2022,8,750000
80,3,2,4.5,2007,2,285000
55,2,1,7.0,1999,0,165000
99,3,2,2.5,2010,3,360000
115,4,2,1.9,2016,4,470000
72,2,1,5.6,2003,1,225000
132,5,3,0.9,2018,6,680000
84,3,2,3.8,2008,2,300000
50,2,1,8.0,1997,0,150000
90,3,2,3.2,2014,2,335000
145,5,3,0.7,2021,7,740000
77,3,1,4.9,2006,2,265000
62,2,1,6.7,2000,1,185000
123,4,3,1.3,2019,5,560000
88,3,2,3.4,2011,3,325000
54,2,1,7.5,1998,0,160000
138,5,3,0.6,2020,7,700000
81,3,2,4.3,2009,2,290000
66,2,1,6.0,2003,1,200000
107,4,2,2.0,2015,4,450000
91,3,2,3.1,2012,2,335000
73,2,1,5.5,2004,1,230000
122,4,3,1.2,2018,5,540000
58,2,1,7.2,1999,0,170000
97,3,2,2.6,2011,3,355000
113,4,2,1.7,2016,4,460000
69,2,1,5.8,2002,1,215000
135,5,3,0.4,2023,8,770000
83,3,2,3.9,2008,2,305000
48,1,1,8.8,1995,0,140000
119,4,2,1.5,2017,4,490000
105,4,2,2.3,2014,3,430000
