ID Transazione,ID Cliente,Data,Importo (€),Prodotto
1,101,2025-01-15,45.60,Maglietta
2,102,2025-01-16,89.99,Scarpe
3,103,2025-01-17,120.00,Giacca
4,104,2025-01-18,15.00,Cappello
5,105,2025-01-19,55.50,Jeans
6,101,2025-01-20,35.00,Felpa
7,106,2025-01-21,250.00,Smartphone
8,107,2025-01-22,19.99,Calzini
9,108,2025-01-23,75.00,Orologio
10,109,2025-01-24,40.00,Zaino
11,110,2025-01-25,15.99,Sciarpa
12,111,2025-01-26,350.00,Tablet
13,112,2025-01-27,22.50,Cintura
14,113,2025-01-28,120.00,Scarpe da corsa
15,114,2025-01-29,75.50,Giacca a vento
16,115,2025-01-30,60.00,Pantaloni
17,116,2025-01-31,25.00,Guanti
18,117,2025-02-01,85.00,Scarpe da trekking
19,118,2025-02-02,100.00,Borsa
20,119,2025-02-03,10.00,Cappellino
21,120,2025-02-04,45.00,Maglietta
22,121,2025-02-05,140.00,Giacca
23,122,2025-02-06,90.00,Scarpe
24,123,2025-02-07,15.50,Calzini
25,124,2025-02-08,30.00,Felpa
26,125,2025-02-09,55.00,Jeans
27,126,2025-02-10,18.00,Sciarpa
28,127,2025-02-11,300.00,Laptop
29,128,2025-02-12,20.00,Cintura
30,129,2025-02-13,65.00,Giacca a vento
31,130,2025-02-14,50.00,Pantaloni
32,131,2025-02-15,27.00,Guanti
33,132,2025-02-16,80.00,Scarpe da trekking
34,133,2025-02-17,95.00,Borsa
35,134,2025-02-18,12.00,Cappellino
