Squadra,Punti,Vittorie,Pareggi,Sconfitte,Gol_Fatti,Gol_Subiti
Inter,82,25,7,6,70,30
Juventus,78,24,6,8,65,33
Milan,74,22,8,8,68,35
Napoli,72,21,9,8,64,32
Roma,65,19,8,11,60,40
Lazio,60,17,9,12,55,42
Atalanta,58,16,10,12,58,45
Fiorentina,55,15,10,13,50,48
Torino,52,14,10,14,48,50
Sassuolo,50,13,11,14,47,52
Udinese,48,13,9,16,45,53
Empoli,46,12,10,16,43,55
Spezia,44,11,11,16,42,56
Monza,42,11,9,18,40,58
Bologna,40,10,10,18,38,60
Verona,38,9,11,18,36,62
Salernitana,36,8,12,18,34,63
Lecce,35,9,8,21,33,65
Frosinone,33,8,9,21,30,66
Cremonese,30,7,9,22,28,68
